ID,količina,merska enota,sestavina
21292,1, kumara 
21292,3,–
21292,4, srednje veliki paradižniki 
21292,1,–
21292,2, papriki 
21292,1, čebula 
21292,20, zelenih oliv LYTTOS 
21292,200, g bio ovčjega ali bio kozjega sira NATUR AKTIV ščepec origana LE GUSTO ščepec bazilike LE GUSTO ščepec timijana LE GUSTO ščepec kopra LE GUSTO 
21292,4, žlice bio oljčnega olja KLOSTER TOPLOU 
21292,2, žlici jabolčnega kisa LOMEE sol poper LE GUSTO 
21292,2, bageti z zeliščnim maslom (za prilogo) 
21293,400, g testenin GOURMET 
21293,100, g čebule 
21293,400, g kozic ALMARE SEAFOOD 
21293,100, g čajnega masla MILFINA 
21293,400, ml penine Silver Pearls vinske kleti RADGONSKE GORICE 
21293,200, ml smetane za kuhanje MILFINA sol poper LE GUSTO malo limoninega soka bazilika LE GUSTO 
21294,2," zavitka želatine v prahu, ali dva zavitka želatine v lističih "
21294,8, žlic hladne vode 
21294,2, skodelici kristalnega sladkorja 
21294,0,","
21294,5, skodelice vode 
21294,1,/
21294,4, žličke soli 
21294,2, žlički vanilijevega ekstrakta sladkor v prahu barve po želji 
21295,1, kocka kvasa Fala 
21295,47, dag moke 
21295,2, dl mleka 
21295,8, dag jogurta 
21295,4, dag sladkorja 
21295,3, dag masla 
21295,2, jajci 
21295,2, rumenjaka 
21295,2, žlici olja 
21295,2, žlici kakava v prahu 
21295,1,","
21295,5, male žličke soli Nadev: 
21295,4, dl mleka 
21295,1, strok vanilije 
21295,1, vanilin puding 
21295,2, žlici sladkorja 
21295,1, rumenjak 
21295,1, beljak 
21295,5, dag sladkorja 
21296,2, dl mleka 
21296,48, dag moke 
21296,7, dag kisle smetane 
21296,6, dag masla 
21296,3, dag sladkorja 
21296,2, jajci 
21296,2, žlici ruma 
21296,1,","
21296,5, male žličke soli Nadev: 
21296,25, dag kokosove moke 
21296,12, dag sladkorja 
21296,1, vanilin sladkor 
21296,3, dl mleka ali smetane 
21296,4, žlice ruma 
21296,2, jajci sok in lupinica limone 
21296,20, dag čokolada jajce za premaz 
21297,1, kocka kvasa Fala 
21297,47, dag moke 
21297,2, dl mleka 
21297,8, dag jogurta 
21297,4, dag sladkorja 
21297,3, dag masla 
21297,2, jajci 
21297,2, rumenjaka 
21297,2, žlici olja 
21297,2, žlici kakava v prahu 
21297,1,","
21297,5, male žličke soli Nadev: 
21297,2,","
21297,5, dl mleka 
21297,25, dag kokosove moke 
21297,12, dag sladkorja 
21297,2, beljaka 
21297,2, žlici mascarpone sirčka limonina lupinica 
21298,1, kocka kvasa Fala 
21298,3, dl mleka 
21298,80, dag moke 
21298,15, dag kisle smetane 
21298,15, dag sladkorja 
21298,14, dag masla 
21298,2, jajci 
21298,2, rumenjaka 
21298,2,","
21298,5, male žličke soli Nadev: 
21298,15, dag masla 
21298,10, dag rozin 
21298,10, dag brusnic 
21298,10, dag suhih sliv 
21298,10, dag zmrznjenih jagod (ali iz kompota) 
21298,4, vanilin sladkorji 
21298,1, žlica navadnega sladkorja 
21298,1, jajce za premaz 
21299,7, dl vode 
21299,15, dag ržene moke 
21299,75, dag bele moke Faza II: ½ kocke kvasa Fala 
21299,20, dag kislega testa 
21299,3, žlice semen sezama 
21299,3, žlice semen sončnic 
21299,3, male žličke soli 
21299,0,","
21299,5, dl vode 
21300,4,","
21300,5, dl vode 
21300,34, dag bele moke 
21300,20, dag polnozrnate pirine moke 
21300,6, dag črne moke Faza II: 
21300,35, dag kislega testa* ½  kocke kvasa Fala 
21300,3, male žličke soli 
21301,2, dl mleka 
21301,45, dag bele moke 
21301,9, dag kisle smetane 
21301,7, dag masla 
21301,3, dag sladkorja 
21301,1, rumenjak 
21301,1, jajce 
21301,1,","
21301,5, male žličke soli Nadev: 
21301,60, dag orehov 
21301,2,","
21301,5, dl sladke smetane 
21301,0,","
21301,5, dl ruma 
21301,2, beljaka 
21301,18, dag sladkorja 
21301,15, dag dateljnov 
21301,1, jajce za premaz 
21302,1, kocka kvasa Fala 
21302,2,","
